Tiêu đề,Giá,Diện tích,Giá/m2,Số phòng ngủ,Số phòng tắm,Địa chỉ,Ngày đăng
"Bán nhà hẻm Trường Chinh, phường 14, Tân Bình (4x15) 2 tầng; 7,2 tỷ","7,25 tỷ",50 m²,145 tr/m²,,,"Q. Tân Bình, Tp. Hồ Chí Minh",12/10/2025
Bán nhà căn góc - sát hẻm xe hơi - vị trí đắc địa - quận 7,"1,88 tỷ",23 m²,"81,74 tr/m²",2.0,2.0,"Q. 7, Tp. Hồ Chí Minh",12/10/2025
"Bán nhà Quốc Hương, 8x13, 2 lầu, 4pn, nhà đẹp, gần trường ĐH Văn Hoá, 16.5 tỷ",16 tỷ,110 m²,"145,45 tr/m²",4.0,3.0,"Tp. Thủ Đức, Tp. Hồ Chí Minh",12/10/2025
"Cơ hội sở hữu căn nhà 74m2 đường Đào Duy Anh, Phú Nhuận - [4TỶ1], Hẻm rộng 5M phù hợp cho thuê","4,1 tỷ",74.5 m²,"55,03 tr/m²",4.0,5.0,"Q. Phú Nhuận, Tp. Hồ Chí Minh",12/10/2025
"Nhà siêu phẩm nguyễn bá tòng, tân bình ngay ngã tư bảy hiền. diện tích:90m2 - giá 5tỷ550","5,5 tỷ",90 m²,"61,11 tr/m²",5.0,4.0,"Q. Tân Bình, Tp. Hồ Chí Minh",12/10/2025
"Đất thổ cư 4*20m Ấp Chiến Lược, 200m ra Đ.Tân Kỳ Tân Quý, hẻm xe tải, không lộ giới, Bình Hưng Hòa","5,49 tỷ",80 m²,"68,63 tr/m²",,,"Q. Bình Tân, Tp. Hồ Chí Minh",12/10/2025
"Bán Lô Đất 68m2 , KDC đông đúc , oto tới nhà , gần chung cư 4s Linh Đông",6 tỷ,68 m²,"88,24 tr/m²",,,"Tp. Thủ Đức, Tp. Hồ Chí Minh",12/10/2025
"Hàng kín - chỉ 95tr/m2 - sát hxh - phan văn trị, bt - gần 80m2 - đát dân cư hiện hữu chỉ 7.x t.ỷ","7,5 tỷ",77 m²,"97,4 tr/m²",3.0,2.0,"Q. Bình Thạnh, Tp. Hồ Chí Minh",12/10/2025
"Bán nhanh nhà HXH 5m Tân Quý, Tân Phú 4x20(79m2) giá 6.5 tỷ(TL)","6,5 tỷ",79 m²,"82,28 tr/m²",3.0,3.0,"Q. Tân Phú, Tp. Hồ Chí Minh",12/10/2025
"5 tỷ 800 thương lượng, bán nhà mới 3 tầng, đường 5 mét, diện tích : ngan 4 mét - dài 14 mét.","5,8 tỷ",55.2 m²,"105,07 tr/m²",4.0,3.0,"Q. Bình Tân, Tp. Hồ Chí Minh",12/10/2025
"Bán nhà 57m2, 2 tầng, sát mặt tiền, phan văn trị, bình thạnh, 4.6tỉ tl","4,6 tỷ",57 m²,"80,7 tr/m²",3.0,1.0,"Q. Bình Thạnh, Tp. Hồ Chí Minh",12/10/2025
Còn sót lại căn hộ dịch vụ chu văn an - hợp đồng thuê 30tr - nhỉnh 8 tỷ,"8,3 tỷ",40 m²,"207,5 tr/m²",,,"Q. Bình Thạnh, Tp. Hồ Chí Minh",12/10/2025
"Nhà Đẹp 1/ hẻm nhựa 6m P.Tân Sơn Nhì, 4.2x16m giá 6.95 Tỷ","6,95 tỷ",65 m²,"106,92 tr/m²",2.0,2.0,"Q. Tân Phú, Tp. Hồ Chí Minh",12/10/2025
"5 tỷ 800 thương lượng, bán nhà mới 3 tầng, đường 5 mét, diện tích : ngan 4 mét - dài 14 mét.","5,8 tỷ",55.2 m²,"105,07 tr/m²",4.0,3.0,"Q. Bình Tân, Tp. Hồ Chí Minh",12/10/2025
"Bán nhà 57m2, 2 tầng, sát mặt tiền, phan văn trị, bình thạnh, 4.6tỉ tl","4,6 tỷ",57 m²,"80,7 tr/m²",3.0,1.0,"Q. Bình Thạnh, Tp. Hồ Chí Minh",12/10/2025
Còn sót lại căn hộ dịch vụ chu văn an - hợp đồng thuê 30tr - nhỉnh 8 tỷ,"8,3 tỷ",40 m²,"207,5 tr/m²",,,"Q. Bình Thạnh, Tp. Hồ Chí Minh",12/10/2025
"Nhà Đẹp 1/ hẻm nhựa 6m P.Tân Sơn Nhì, 4.2x16m giá 6.95 Tỷ","6,95 tỷ",65 m²,"106,92 tr/m²",2.0,2.0,"Q. Tân Phú, Tp. Hồ Chí Minh",12/10/2025
"Tân bình 3t/5*15 - 4m đường - ngay chợ phạm văn bạch - sát sân bay tân sơn nhất - chỉ 6,9ty","6,9 tỷ",75 m²,92 tr/m²,4.0,4.0,"Q. Tân Bình, Tp. Hồ Chí Minh",12/10/2025
"Nhà bán gò vấp nhà bùi quang là p12 giá 4,25 tỷ","4,25 tỷ",31 m²,"137,1 tr/m²",2.0,2.0,"Q. Gò Vấp, Tp. Hồ Chí Minh",12/10/2025
"Bán nhà gấp đường Hồ Văn Long, diện tích 4.7mx9m, 1 lầu, giá 3.55 tỷ ( TL), đường rộng 8m thông","3,55 tỷ",44 m²,"80,68 tr/m²",2.0,2.0,"Q. Bình Tân, Tp. Hồ Chí Minh",12/10/2025
"Nhà mới hẻm xe hơi 7m hương lộ 2 bình tân 4 tầng, 3pn -hơn 5 tỷ sở hữu ngay","5,25 tỷ",44 m²,"119,32 tr/m²",3.0,3.0,"Q. Bình Tân, Tp. Hồ Chí Minh",12/10/2025
